feature,importance
area,0.3689323953152417
area_squared,0.23797585177363612
district_ЦАО,0.20889613426376039
latitude,0.09945794948663851
longitude,0.016292925391925655
distance_to_center_squared,0.015030443665473152
distance_to_center,0.013677895579758181
area_per_room,0.00369962142725167
school_distance,0.0031136854256030044
shopping_distance,0.003091419224762492
ceiling_height,0.0030202547202681945
park_distance,0.0029617340656335174
total_accessibility,0.0024756212134509855
metro_distance,0.002353449950107647
total_floors,0.002101763833500839
floor,0.002062358953293357
renovation_евроремонт,0.0018713104600360164
renovation_дизайнерский,0.0018044065837655155
year_built,0.0013673379790057772
district_СЗАО,0.001202503152229513
building_age_squared,0.0011026351763161872
has_parking,0.001091963824734538
building_age,0.0010582182411165645
building_type_монолит,0.0007855423731548932
district_ЗАО,0.0006363344172177295
renovation_косметический,0.0006007642014494931
has_loggia,0.0004581420276403257
has_balcony,0.00039390656263894533
district_САО,0.0003810157840428804
rooms,0.00037478262942874837
building_type_панель,0.0003737960715395899
rooms_squared,0.0003679138290929549
building_type_кирпич,0.00022722589586890638
district_ТАО,0.00021337719273907625
district_НАО,0.00011932185164672323
district_ЮВАО,0.00010862159470675528
district_СВАО,9.870556247894603e-05
district_ЮАО,8.335168890271425e-05
building_type_сталинка,6.611001520860002e-05
district_ЮЗАО,5.729775311740484e-05
has_elevator,1.1910841615916758e-05
