id,district,latitude,longitude,area,rooms,floor,total_floors,metro_distance,distance_to_center,park_distance,school_distance,shopping_distance,year_built,building_age,building_type,renovation,ceiling_height,has_balcony,has_loggia,has_parking,has_elevator,price,price_per_sqm
1,ЮЗАО,55.641746,37.577009,122.5,2,11,18,0.59,13.04,0.97,0.3,2.06,2012,12,монолит,дизайнерский,2.65,0,0,0,1,37760902.4,308349.49
2,СЗАО,55.845547,37.352822,42.4,1,15,24,0.59,31.16,2.01,0.38,1.69,1972,52,блочный,косметический,2.82,0,1,0,1,10417032.64,245472.07
3,НАО,55.554366,37.353989,80.0,1,8,21,0.13,36.56,2.29,0.46,2.09,1971,53,панель,без ремонта,2.9,0,1,0,1,13395729.48,167406.73
4,ВАО,55.797777,37.820127,36.1,1,8,17,1.59,23.06,1.92,0.86,1.88,1994,30,панель,косметический,2.6,1,0,1,1,10418971.29,288921.79
5,ЗАО,55.732165,37.451926,121.4,1,10,11,0.2,18.51,2.19,0.97,1.19,2007,17,панель,евроремонт,2.97,1,0,0,1,36439990.99,300142.93
6,СВАО,55.872121,37.647461,121.4,2,15,17,0.55,13.74,0.26,0.25,0.38,2008,16,панель,косметический,2.99,0,1,0,1,31025147.14,255622.62
7,ЮЗАО,55.637873,37.556665,141.2,3,6,17,0.59,14.36,0.7,0.68,2.68,2017,7,панель,косметический,3.13,0,1,0,1,38519803.65,272779.56
8,СВАО,55.866777,37.612008,77.2,1,10,11,0.43,12.75,2.37,0.55,1.7,2010,14,панель,без ремонта,2.68,0,1,1,1,19439407.12,251882.87
9,ЗАО,55.718235,37.424648,87.8,1,1,9,0.9,21.73,1.77,0.84,1.51,1965,59,панель,косметический,3.03,0,1,0,1,26920880.3,306494.2
10,ЮАО,55.651571,37.708911,124.8,1,6,19,1.05,15.07,2.17,0.56,0.89,1995,29,монолит,косметический,2.95,0,1,0,1,37490769.28,300423.32
11,ЦАО,55.773338,37.635066,51.1,2,3,14,0.31,3.07,0.6,1.48,1.69,1931,93,монолит,дизайнерский,2.89,1,0,0,1,30057626.9,587821.31
12,СВАО,55.862418,37.638006,136.0,3,8,9,1.33,12.47,1.74,0.91,1.31,1994,30,монолит,без ремонта,2.61,1,1,0,1,35175063.82,258694.84
13,ЦАО,55.755727,37.609934,47.4,2,7,12,1.12,0.94,0.91,0.86,1.67,2015,9,кирпич,косметический,3.18,1,1,0,1,26893036.43,567928.71
14,ЦАО,55.75183,37.672003,49.4,3,4,23,0.12,6.05,1.68,0.35,2.84,2022,2,кирпич,дизайнерский,3.02,1,0,0,1,28200594.83,570800.15
15,ЦАО,55.752538,37.608095,48.9,1,2,7,0.75,1.05,2.35,1.07,1.84,1953,71,кирпич,косметический,2.75,0,0,0,1,25884921.52,529735.3
16,СЗАО,55.818915,37.41094,61.7,3,2,11,1.71,24.1,2.3,0.82,1.65,2014,10,панель,без ремонта,2.78,0,1,0,1,16853988.99,273164.79
17,ЮЗАО,55.631998,37.590728,44.4,5,10,14,1.68,13.65,0.78,0.15,1.12,2002,22,панель,косметический,3.04,0,1,0,1,13547477.97,305259.49
18,ВАО,55.811657,37.801915,42.3,1,10,10,0.41,21.51,2.03,0.48,1.49,1995,29,панель,дизайнерский,3.09,1,0,0,1,11614104.88,274603.19
19,САО,55.83371,37.519108,47.9,4,5,5,1.17,14.2,1.48,0.96,1.43,1971,53,кирпич,без ремонта,2.58,1,0,0,0,17158326.54,358523.9
20,ЮВАО,55.686096,37.765509,86.5,2,5,9,0.51,17.98,1.62,0.99,0.42,2000,24,панель,дизайнерский,2.85,1,1,0,1,27330967.07,316140.42
21,САО,55.839547,37.515494,142.5,2,3,22,0.92,14.92,1.25,0.86,2.84,1962,62,монолит,косметический,2.64,0,0,0,1,35751052.81,250833.92
22,САО,55.831204,37.527352,64.9,3,3,6,0.36,13.32,0.47,1.08,2.0,1988,36,панель,косметический,3.18,1,0,0,1,20805730.54,320719.96
23,СВАО,55.839885,37.592289,122.1,1,5,22,0.32,10.15,1.76,1.14,0.94,1999,25,блочный,косметический,3.08,1,1,0,1,28291289.49,231797.74
